# Table 21: Historic Data (1995-1999): Book production: Number of titles by UDC classes
Country,Total,Total,Total,Total,Total,Generalities,Generalities,Generalities,Generalities,Generalities,"Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology",Social Sciences,Social Sciences,Social Sciences,Social Sciences,Social Sciences,Philology,Philology,Philology,Philology,Philology,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Literature,Literature,Literature,Literature,Literature,Geography / History,Geography / History,Geography / History,Geography / History,Geography / History
Canada,17931,19900,21669,20848,22941,467,480,654,553,594,336,403,533,527,516,406,534,648,660,740,6261,7902,8386,7756,8182,411,503,683,646,620,888,911,1040,1041,1101,2625,3530,3429,3266,3634,745,1171,1207,1199,1402,3213,2854,3491,3616,4248,1211,1612,1598,1584,1904
Cape Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Cayman Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,...
Central African Republic,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Chad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Chile,2469,...,...,...,1443,18,...,...,...,3,59,...,...,...,44,158,...,...,...,112,707,...,...,...,394,33,...,...,...,31,71,...,...,...,30,261,...,...,...,125,80,...,...,...,43,860,...,...,...,538,222,...,...,...,123
China,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"China, Hong Kong Special Administrative Region",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"China, Macao Special Administrative Region",...,67,...,...,340,...,2,...,...,5,...,-,...,...,1,...,-,...,...,11,...,44,...,...,93,...,3,...,...,...,...,-,...,...,6,...,2,...,...,31,...,13,...,...,53,...,2,...,...,91,...,1,...,...,49
Colombia,...,...,5302,...,...,...,...,616,...,...,...,...,261,...,...,...,...,236,...,...,...,...,1830,...,...,...,...,132,...,...,...,...,230,...,...,...,...,717,...,...,...,...,212,...,...,...,...,884,...,...,...,...,184,...,...
Comoros,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Congo,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Cook Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Costa Rica,1034,...,949,1464,...,36,...,23,60,...,22,...,8,23,...,26,...,46,49,...,307,...,495,656,...,25,...,14,20,...,51,...,39,66,...,150,...,88,253,...,14,...,27,40,...,186,...,166,221,...,58,...,43,76,...
